Trial,Subject,Condition,Partner,ChoiceType,ChoiceRT,Outcome,PartnerChoice,PreviousPlayerChoice,PreviousPartnerCHoice,Previous Outcome,First Partner within Session,SessionOrder1,SessionOrder2
1,102,SR,PRO,0,4403,3,0,NaN,NaN,NaN,ANTI,1,SR
2,102,SR,PRO,1,2059,1,0,0,0,3,ANTI,1,SR
3,102,SR,PRO,0,1663,3,0,1,0,1,ANTI,1,SR
4,102,SR,PRO,0,585,3,0,0,0,3,ANTI,1,SR
5,102,SR,PRO,1,749,1,0,0,0,3,ANTI,1,SR
6,102,SR,PRO,1,666,1,0,1,0,1,ANTI,1,SR
7,102,SR,PRO,0,2597,4,1,1,0,1,ANTI,1,SR
8,102,SR,PRO,0,5191,3,0,0,1,4,ANTI,1,SR
9,102,SR,PRO,1,1844,1,0,0,0,3,ANTI,1,SR
10,102,SR,PRO,0,2263,3,0,1,0,1,ANTI,1,SR
11,102,SR,PRO,1,3227,1,0,0,0,3,ANTI,1,SR
12,102,SR,PRO,1,1245,1,0,1,0,1,ANTI,1,SR
13,102,SR,PRO,1,1756,2,1,1,0,1,ANTI,1,SR
14,102,SR,PRO,1,994,1,0,1,1,2,ANTI,1,SR
15,102,SR,PRO,1,821,1,0,1,0,1,ANTI,1,SR
16,102,SR,PRO,0,462,4,1,1,0,1,ANTI,1,SR
1,102,SR,ANTI,0,922,4,1,NaN,NaN,NaN,ANTI,1,SR
2,102,SR,ANTI,1,559,1,0,0,1,4,ANTI,1,SR
3,102,SR,ANTI,1,1515,2,1,1,0,1,ANTI,1,SR
4,102,SR,ANTI,1,1354,2,1,1,1,2,ANTI,1,SR
5,102,SR,ANTI,1,847,2,1,1,1,2,ANTI,1,SR
6,102,SR,ANTI,1,455,2,1,1,1,2,ANTI,1,SR
7,102,SR,ANTI,0,537,4,1,1,1,2,ANTI,1,SR
8,102,SR,ANTI,0,389,3,0,0,1,4,ANTI,1,SR
9,102,SR,ANTI,1,603,1,0,0,0,3,ANTI,1,SR
10,102,SR,ANTI,1,733,2,1,1,0,1,ANTI,1,SR
11,102,SR,ANTI,0,300,4,1,1,1,2,ANTI,1,SR
12,102,SR,ANTI,0,504,3,0,0,1,4,ANTI,1,SR
13,102,SR,ANTI,1,393,1,0,0,0,3,ANTI,1,SR
14,102,SR,ANTI,0,482,3,0,1,0,1,ANTI,1,SR
15,102,SR,ANTI,0,582,3,0,0,0,3,ANTI,1,SR
16,102,SR,ANTI,0,460,3,0,0,0,3,ANTI,1,SR
1,102,SD,PRO,0,3168,3,0,NaN,NaN,NaN,PRO,1,SR
2,102,SD,PRO,1,2169,1,0,0,0,3,PRO,1,SR
3,102,SD,PRO,1,1718,1,0,1,0,1,PRO,1,SR
4,102,SD,PRO,1,1545,2,1,1,0,1,PRO,1,SR
5,102,SD,PRO,1,1590,2,1,1,1,2,PRO,1,SR
6,102,SD,PRO,1,1508,1,0,1,1,2,PRO,1,SR
7,102,SD,PRO,1,1173,1,0,1,0,1,PRO,1,SR
8,102,SD,PRO,1,1475,2,1,1,0,1,PRO,1,SR
9,102,SD,PRO,1,1262,1,0,1,1,2,PRO,1,SR
10,102,SD,PRO,1,1352,2,1,1,0,1,PRO,1,SR
11,102,SD,PRO,1,1793,2,1,1,1,2,PRO,1,SR
12,102,SD,PRO,1,2173,2,1,1,1,2,PRO,1,SR
13,102,SD,PRO,1,1559,1,0,1,1,2,PRO,1,SR
14,102,SD,PRO,1,1927,1,0,1,0,1,PRO,1,SR
15,102,SD,PRO,1,1828,2,1,1,0,1,PRO,1,SR
16,102,SD,PRO,1,2427,1,0,1,1,2,PRO,1,SR
1,102,SD,ANTI,1,2669,2,1,NaN,NaN,NaN,PRO,1,SR
2,102,SD,ANTI,1,2196,2,1,1,1,2,PRO,1,SR
3,102,SD,ANTI,1,1691,2,1,1,1,2,PRO,1,SR
4,102,SD,ANTI,1,1529,2,1,1,1,2,PRO,1,SR
5,102,SD,ANTI,1,1421,2,1,1,1,2,PRO,1,SR
6,102,SD,ANTI,1,1459,2,1,1,1,2,PRO,1,SR
7,102,SD,ANTI,1,1686,2,1,1,1,2,PRO,1,SR
8,102,SD,ANTI,1,1694,2,1,1,1,2,PRO,1,SR
9,102,SD,ANTI,1,1710,2,1,1,1,2,PRO,1,SR
10,102,SD,ANTI,1,1436,2,1,1,1,2,PRO,1,SR
11,102,SD,ANTI,0,1114,3,0,1,1,2,PRO,1,SR
12,102,SD,ANTI,1,1344,1,0,0,0,3,PRO,1,SR
13,102,SD,ANTI,1,1289,2,1,1,0,1,PRO,1,SR
14,102,SD,ANTI,1,2014,2,1,1,1,2,PRO,1,SR
15,102,SD,ANTI,1,1555,1,0,1,1,2,PRO,1,SR
16,102,SD,ANTI,1,2057,1,0,1,0,1,PRO,1,SR
1,103,SR,PRO,1,0,1,0,NaN,NaN,NaN,ANTI,1,SR
2,103,SR,PRO,0,1280,3,0,1,0,1,ANTI,1,SR
3,103,SR,PRO,1,897,1,0,0,0,3,ANTI,1,SR
4,103,SR,PRO,1,1402,2,1,1,0,1,ANTI,1,SR
5,103,SR,PRO,0,890,4,1,1,1,2,ANTI,1,SR
6,103,SR,PRO,1,1817,1,0,0,1,4,ANTI,1,SR
7,103,SR,PRO,1,746,2,1,1,0,1,ANTI,1,SR
8,103,SR,PRO,1,457,1,0,1,1,2,ANTI,1,SR
9,103,SR,PRO,0,773,3,0,1,0,1,ANTI,1,SR
10,103,SR,PRO,1,428,1,0,0,0,3,ANTI,1,SR
11,103,SR,PRO,0,309,3,0,1,0,1,ANTI,1,SR
12,103,SR,PRO,0,668,3,0,0,0,3,ANTI,1,SR
13,103,SR,PRO,0,949,4,1,0,0,3,ANTI,1,SR
14,103,SR,PRO,1,496,1,0,0,1,4,ANTI,1,SR
15,103,SR,PRO,0,660,3,0,1,0,1,ANTI,1,SR
16,103,SR,PRO,1,459,1,0,0,0,3,ANTI,1,SR
1,103,SR,ANTI,1,2782,2,1,NaN,NaN,NaN,ANTI,1,SR
2,103,SR,ANTI,0,1226,4,1,1,1,2,ANTI,1,SR
3,103,SR,ANTI,0,475,3,0,0,1,4,ANTI,1,SR
4,103,SR,ANTI,1,1554,1,0,0,0,3,ANTI,1,SR
5,103,SR,ANTI,1,638,2,1,1,0,1,ANTI,1,SR
6,103,SR,ANTI,0,1040,4,1,1,1,2,ANTI,1,SR
7,103,SR,ANTI,1,728,1,0,0,1,4,ANTI,1,SR
8,103,SR,ANTI,1,1240,2,1,1,0,1,ANTI,1,SR
9,103,SR,ANTI,1,1329,2,1,1,1,2,ANTI,1,SR
10,103,SR,ANTI,0,885,4,1,1,1,2,ANTI,1,SR
11,103,SR,ANTI,0,588,3,0,0,1,4,ANTI,1,SR
12,103,SR,ANTI,0,558,3,0,0,0,3,ANTI,1,SR
13,103,SR,ANTI,1,1615,1,0,0,0,3,ANTI,1,SR
14,103,SR,ANTI,1,2237,2,1,1,0,1,ANTI,1,SR
15,103,SR,ANTI,0,1954,4,1,1,1,2,ANTI,1,SR
16,103,SR,ANTI,0,2564,3,0,0,1,4,ANTI,1,SR
1,103,SD,PRO,1,5881,1,0,NaN,NaN,NaN,PRO,1,SR
2,103,SD,PRO,1,766,1,0,1,0,1,PRO,1,SR
3,103,SD,PRO,1,617,2,1,1,0,1,PRO,1,SR
4,103,SD,PRO,1,1572,1,0,1,1,2,PRO,1,SR
5,103,SD,PRO,1,685,1,0,1,0,1,PRO,1,SR
6,103,SD,PRO,1,2015,2,1,1,0,1,PRO,1,SR
7,103,SD,PRO,1,806,1,0,1,1,2,PRO,1,SR
8,103,SD,PRO,1,2915,1,0,1,0,1,PRO,1,SR
9,103,SD,PRO,1,1140,2,1,1,0,1,PRO,1,SR
10,103,SD,PRO,1,962,1,0,1,1,2,PRO,1,SR
11,103,SD,PRO,1,3416,2,1,1,0,1,PRO,1,SR
12,103,SD,PRO,1,1416,1,0,1,1,2,PRO,1,SR
13,103,SD,PRO,1,1032,1,0,1,0,1,PRO,1,SR
14,103,SD,PRO,1,0,2,1,1,0,1,PRO,1,SR
15,103,SD,PRO,1,0,1,0,1,1,2,PRO,1,SR
16,103,SD,PRO,1,0,2,1,1,0,1,PRO,1,SR
1,103,SD,ANTI,1,3236,2,1,NaN,NaN,NaN,PRO,1,SR
2,103,SD,ANTI,1,977,1,0,1,1,2,PRO,1,SR
3,103,SD,ANTI,1,1014,2,1,1,0,1,PRO,1,SR
4,103,SD,ANTI,1,791,1,0,1,1,2,PRO,1,SR
5,103,SD,ANTI,0,1633,4,1,1,0,1,PRO,1,SR
6,103,SD,ANTI,1,1988,1,0,0,1,4,PRO,1,SR
7,103,SD,ANTI,1,1040,2,1,1,0,1,PRO,1,SR
8,103,SD,ANTI,1,750,2,1,1,1,2,PRO,1,SR
9,103,SD,ANTI,1,728,2,1,1,1,2,PRO,1,SR
10,103,SD,ANTI,1,673,2,1,1,1,2,PRO,1,SR
11,103,SD,ANTI,1,3334,2,1,1,1,2,PRO,1,SR
12,103,SD,ANTI,0,1202,4,1,1,1,2,PRO,1,SR
13,103,SD,ANTI,1,584,1,0,0,1,4,PRO,1,SR
14,103,SD,ANTI,1,707,2,1,1,0,1,PRO,1,SR
15,103,SD,ANTI,1,747,2,1,1,1,2,PRO,1,SR
16,103,SD,ANTI,1,737,2,1,1,1,2,PRO,1,SR
